FrageNr;Frage;Frage_Bild1;Frage_Bild1_scale;Frage_Bild2;Frage_Bild2_scale;AntwortA;AntwortA_Bild;AntwortA_Bild_scale;AntwortB;AntwortB_Bild;AntwortB_Bild_scale;AntwortC;AntwortC_Bild;AntwortC_Bild_scale;AntwortD;AntwortD_Bild;AntwortD_Bild_scale
TD318;Welches ist der Hauptnachteil eines Schaltnetzteils gegenüber einem Netzteil mit Längsregelung?;td318_a.jpg;1.0;;;Ein Schaltnetzteil erzeugt Oberwellen, die zu Störungen führen können.;;;Ein Schaltnetzteil benötigt einen größeren Transformator.;;;Ein Schaltnetzteil kann keine so hohen Ströme abgeben.;;;Ein Schaltnetzteil hat höhere Verluste.;;
TD319;Welche Ausgangsspannung entsteht mit folgender Spannungsregler-Schaltung?;td319_a.jpg;1.0;;;8,9 V;;;6 V;;;18 V;;;14,9 V;;
TD320;Im folgenden Bild ist die Spannung am Ausgang einer Stromversorgung dargestellt. Die Restwelligkeit und die Brummfrequenz betragen;td320_a.jpg;1.0;;;3 Vₛₛ, 100 Hz.;;;3 Vₛₛ, 50 Hz.;;;13,5 +1,5 V, 50 Hz.;;;13,5 +1,5 V, 100 Hz.;;
TD321;Welche Grundfrequenz hat die Ausgangsspannung eines Vollweggleichrichters, der an eine 50-Hz-Versorgung angeschlossen ist?;;;;;100 Hz;;;50 Hz;;;25 Hz;;;200 Hz;;
TD322;Welche der dargestellten Schaltungen könnte in den Netzeingang eines Geräts eingebaut werden, um HF-Rückfluss in das Stromversorgungsnetz zu verringern?;;;;;;td322_a.jpg;1.0;;td322_b.jpg;1.0;;td322_c.jpg;1.0;;td322_d.jpg;1.0
TD401;Bei dieser Schaltung handelt es sich um;td401_a.jpg;1.0;;;einen Verstärker in Emitterschaltung.;;;einen Verstärker als Emitterfolger.;;;einen Verstärker in Kollektorschaltung.;;;einen Verstärker in Basisschaltung.;;
TD402;Welche Funktion haben die Widerstände R₁ und R₂ in der folgenden Schaltung? Sie dienen zur;td402_a.jpg;1.0;;;Einstellung der Basisvorspannung.;;;Reduzierung der Eingangsempfindlichkeit.;;;Verhinderung von Eigenschwingungen.;;;Festlegung der oberen und unteren Grenzfrequenz.;;
TD403;Welche Funktion hat der Kondensator C₁ in der folgenden Schaltung? Er dient zur;td403_a.jpg;1.0;;;Überbrückung des Emitterwiderstandes für das Wechselstromsignal.;;;Verringerung der Verstärkung.;;;Stabilisierung des Arbeitspunktes des Transistors.;;;Einstellung der Vorspannung am Emitter.;;
TD404;Wie verhält sich die Spannungs-Verstärkung bei der folgenden Schaltung, wenn der Kondensator C₁ entfernt wird?;td404_a.jpg;1.0;;;Sie nimmt ab.;;;Sie bleibt konstant.;;;Sie nimmt zu.;;;Sie fällt auf Null ab.;;
TD405;Welche Funktion haben die Kondensatoren C₁ und C₂ in der folgenden Schaltung? Sie dienen zur;td405_a.jpg;1.0;;;Wechselstromkopplung.;;;Festlegung der oberen Grenzfrequenz.;;;Erzeugung der erforderlichen Phasenverschiebung.;;;Anhebung niederfrequenter Signalanteile.;;
TD406;Was lässt sich über die Wechselspannungsverstärkung vU und die Phasenverschiebung φ zwischen Ausgangs- und Eingangsspannung dieser Schaltung aussagen?;td406_a.jpg;1.0;;;vU ist groß (z.B. 100 ... 300) und φ=180°.;;;vU ist groß (z.B. 100 ... 300) und φ=0°.;;;vU ist klein (z.B. 0,9 .... 0,98) und φ=180°.;;;vU ist klein (z.B. 0,9 .... 0,98) und φ=0°.;;
TD407;Was lässt sich über den Wechselstromeingangswiderstand re und den Wechselstromausgangswiderstand ra dieser Vorverstärkerschaltung aussagen?;td407_a.jpg;1.0;;;re ist klein (z.B. 100 Ω ... 5 kΩ) und ra ist gegenüber re groß (z.B. 5 kΩ ... 50 kΩ).;;;re ist groß (z.B. 10 kΩ ... 200 kΩ) und ra ist gegenüber re klein (z.B. 4 Ω ... 100 Ω).;;;re und ra sind beide relativ klein (z.B. 20 Ω ... 5 kΩ).;;;re und ra sind beide relativ groß (z.B. 10 kΩ ...200 kΩ).;;
TD408;Bei dieser Schaltung handelt es sich um;td408_a.jpg;1.0;;;einen Verstärker als Emitterfolger.;;;einen Verstärker in Emitterschaltung.;;;einen Oszillator in Kollektorschaltung.;;;eine Stufe in einer Basisschaltung.;;
TD409;Was lässt sich über die Wechselspannungsverstärkung vU und die Phasenverschiebung φ zwischen Ausgangs- und Eingangsspannung dieser Schaltung aussagen?;td409_a.jpg;1.0;;;vU ist klein (z.B. 0,9 .... 0,98) und φ=0°.;;;vU ist groß (z.B. 100 ... 300) und φ=0°.;;;vU ist klein (z.B. 0,9 .... 0,98) und φ=180°.;;;vU ist groß (z.B. 100 ... 300) und φ=180°.;;
TD410;In welchem Bereich liegt der Wechselstrom-Eingangswiderstand eines Emitterfolgers?;;;;;10 kΩ ... 200 kΩ;;;1 kΩ ... 10 kΩ;;;100 Ω ... 1 kΩ;;;4 Ω ... 100 Ω;;
TD411;In welchem Bereich liegt der Wechselstrom-Ausgangswiderstand eines Emitterfolgers?;;;;;4 Ω ... 100 Ω;;;10 kΩ ... 50 kΩ;;;100 kΩ ... 200 kΩ;;;100 kΩ ... 2 MΩ;;
TD412;Die Ausgangsimpedanz dieser Schaltung ist;td412_a.jpg;1.0;;;sehr niedrig im Vergleich zur Eingangsimpedanz.;;;in etwa gleich der Eingangsimpedanz und niederohmig.;;;sehr hoch im Vergleich zur Eingangsimpedanz.;;;in etwa gleich der Eingangsimpedanz und hochohmig.;;
TD413;Diese Schaltung kann unter anderem als;td413_a.jpg;1.0;;;Pufferstufe zwischen Oszillator und Last verwendet werden.;;;Spannungsverstärker mit hohem Gewinn verwendet werden.;;;Phasenumkehrstufe verwendet werden.;;;Frequenzvervielfacher verwendet werden.;;
TD414;Das folgende Oszillogramm zeigt die Ausgangsspannung eines Verstärkers, an dessen Eingang eine rein sinusförmige Wechselspannung anliegt. Welche Harmonische wird von dem Verstärker erzeugt?;td414_a.jpg;1.0;;;Die zweite Harmonische;;;Die dritte Harmonische;;;Die vierte Harmonische;;;Die fünfte Harmonische;;
TD415;Das folgende Oszillogramm zeigt die Ausgangsspannung eines Verstärkers, an dessen Eingang eine rein sinusförmige Wechselspannung anliegt. Welche Harmonische wird von dem Verstärker erzeugt?;td415_a.jpg;1.0;;;Die dritte Harmonische;;;Die zweite Harmonische;;;Die vierte Harmonische;;;Die fünfte Harmonische;;
TD416;Ein NF-Verstärker hebt die Eingangsspannung von 1 mV auf 4 mV Ausgangsspannung an. Eingangs- und Ausgangswiderstand sind gleich. Wie groß ist die Spannungsverstärkung des Verstärkers?;;;;;12 dB;;;3 dB;;;6 dB;;;9 dB;;
TD417;Ein Leistungsverstärker hebt die Eingangsleistung von 2,5 Watt auf 38 Watt Ausgangsleistung an. Dem entspricht eine Leistungsverstärkung von;;;;;11,8 dB.;;;15,2 dB.;;;17,7 dB.;;;23,6 dB.;;
TD418;Ein HF-Leistungsverstärker hat eine Verstärkung von 16 dB. Welche HF-Ausgangsleistung ist zu erwarten, wenn der Verstärker mit 1 W HF-Eingangsleistung angesteuert wird?;;;;;40 W;;;4 W;;;16 W;;;1 W;;
TD419;Das folgende Bild zeigt eine idealisierte Steuerkennlinie eines Transistors mit vier eingezeichneten Arbeitspunkten P1 bis P4. Welcher Arbeitspunkt ist welcher Verstärkerbetriebsart zuzuordnen?;td419_a.jpg;1.0;;;P1 entspricht C-Betrieb, P2 entspricht B-Betrieb, P3 entspricht AB-Betrieb, P4 entspricht A-Betrieb.;;;P2 entspricht C-Betrieb, P3 entspricht BBetrieb, P4 entspricht A-Betrieb, P1 ist kein geeigneter Verstärkerarbeitspunkt.;;;P2 entspricht A-Betrieb, P3 entspricht B-Betrieb, P4 entspricht C-Betrieb, P1 ist kein geeigneter Verstärkerarbeitspunkt.;;;P1 entspricht A-Betrieb, P2 entspricht AB-Betrieb, P3 entspricht B-Betrieb, P4 entspricht C-Betrieb.;;
TD420;Welche Merkmale hat ein HF-Leistungsverstärker im A-Betrieb?;;;;;Wirkungsgrad ca. 40 %, geringst möglicher Oberwellenanteil, hoher Ruhestrom.;;;Wirkungsgrad bis zu 70 %, geringer Oberwellenanteil, geringer bis mittlerer Ruhestrom.;;;Wirkungsgrad bis zu 80 %, geringer Oberwellenanteil, sehr geringer Ruhestrom.;;;Wirkungsgrad 80 bis 87 %, hoher Oberwellenanteil, der Ruhestrom ist fast null.;;
TD421;Welche Merkmale hat ein HFLeistungsverstärker im B-Betrieb?;;;;;Wirkungsgrad bis zu 80 %, geringer Oberwellenanteil, sehr geringer Ruhestrom.;;;Wirkungsgrad bis zu 70 %, geringer Oberwellenanteil, geringer bis mittlerer Ruhestrom.;;;Wirkungsgrad ca. 40 %, geringst möglicher Oberwellenanteil, hoher Ruhestrom.;;;Wirkungsgrad 80 bis 87 %, hoher Oberwellenanteil, der Ruhestrom ist fast null.;;
TD422;Welche Merkmale hat ein HF-Leistungsverstärker im C-Betrieb?;;;;;Wirkungsgrad 80 bis 87 %, hoher Oberwellenanteil, der Ruhestrom ist fast null.;;;Wirkungsgrad bis zu 70 %, geringer Oberwellenanteil, geringer bis mittlerer Ruhestrom.;;;Wirkungsgrad bis zu 80 %, geringer Oberwellenanteil, sehr geringer Ruhestrom.;;;Wirkungsgrad ca. 40 %, geringst möglicher Oberwellenanteil, hoher Ruhestrom.;;
TD423;Ein HF-Leistungsverstärker im A-Betrieb wird mit einer Anodenspannung von 800 V und einem Anodenstrom von 130 mA betrieben. Wie hoch ist die zu erwartende Ausgangsleistung des Verstärkers?;;;;;≈ 40 Watt;;;≈ 80 Watt;;;≈ 60 Watt;;;≈ 100 Watt;;
TD424;Ein HF-Leistungsverstärker im C-Betrieb wird mit einer Anodenspannung von 800 V und einem Anodenstrom von 130 mA betrieben. Wie hoch ist die zu erwartende Ausgangsleistung des Verstärkers?;;;;;≈ 80 Watt;;;≈ 100 Watt;;;≈ 60 Watt;;;≈ 40 Watt;;
TD425;In welcher Größenordnung liegt der Ruhestrom eines HF-Leistungsverstärkers im C-Betrieb?;;;;;Bei fast null Ampere;;;Bei etwa 10 bis 20 % des Stromes bei Nennleistung;;;Bei etwa 70 bis 80 % des Stromes bei Nennleistung;;;Bei fast 100 % des Stromes bei Nennleistung;;
TD426;Eine Treiberstufe eines HF-Verstärkers braucht am Eingang eine Leistung von 1 Watt um am Ausgang 10 Watt an die Endstufe abgeben zu können. Sie benötigt dazu eine Gleichstromleistung von 25 Watt. Wie hoch ist der Wirkungsgrad der Treiberstufe?;;;;;40 %;;;25 %;;;15 %;;;10 %;;
TD427;Wenn ein linearer HF-Leistungsverstärker im AB-Betrieb durch ein SSB-Signal übersteuert wird, führt dies zu;;;;;Splatter auf benachbarten Frequenzen.;;;parasitären Schwingungen des Verstärkers.;;;Übernahmeverzerrungen bei den Transistoren des Verstärkers.;;;Kreuzmodulation.;;
TD428;Welche Baugruppe sollte für die Begrenzung der NF-Bandbreite eines Mikrofonverstärkers verwendet werden?;;;;;Bandpassfilter;;;Tiefpassfilter;;;Hochpassfilter;;;Amplitudenbegrenzer;;
TD429;Was ist die Ursache für Eigenschwingungen eines Verstärkers?;;;;;Kopplung zwischen Ein- und Ausgang;;;Unzulängliche Verstärkung;;;Zu hohe Restwelligkeit in der Stromversorgung;;;Unzulängliche Regelung der Stromversorgung;;
TD430;Welche Art von Schaltung wird im folgenden Bild dargestellt? Es handelt sich um einen;td430_a.jpg;1.0;;;Breitband-Gegentaktverstärker.;;;selektiven Hochfrequenzverstärker.;;;steuerbaren Zwischenfrequenzverstärker.;;;einstellbaren Frequenzverdoppler.;;
TD431;An den Eingang dieser Schaltung wird das folgende Signal gelegt. Welches ist ein mögliches Ausgangssignal UA?;td431_a.jpg;1.0;td431_b.jpg;1.0;;td431_c.jpg;1.0;;td431_d.jpg;1.0;;td431_e.jpg;1.0;;td431_f.jpg;1.0
TD432;An den Eingang dieser Schaltung wird das folgende Signal gelegt. Welches ist ein mögliches Ausgangssignal UA?;td432_a.jpg;1.0;td432_b.jpg;1.0;;td432_c.jpg;1.0;;td432_d.jpg;1.0;;td432_e.jpg;1.0;;td432_f.jpg;1.0
TD501;Bei dieser Schaltung handelt es sich um einen;td501_a.jpg;1.0;;;Hüllkurvendemodulator zur Demodulation von AM-Signalen.;;;SSB-Modulator.;;;AM-Modulator.;;;Produktdetektor zu Demodulation von SSB Signalen.;;
TD502;Bei dieser Schaltung ist der mit X bezeichnete Anschluss;td502_a.jpg;1.0;;;der Ausgang für eine Regelspannung.;;;der Ausgang für das NF-Signal.;;;der Ausgang für das Oszillatorsignal.;;;der Ausgang für das ZF-Signal.;;
TD503;Am ZF-Eingang der folgenden Schaltung liegt ein sinusförmig moduliertes AM-Signal. Welches der folgenden Signale zeigt sich dabei an dem mit X bezeichneten Punkt der Schaltung?;td503_a.jpg;1.0;;;Signal 1;td503_b.jpg;1.0;Signal 2;td503_c.jpg;1.0;Signal 3;td503_d.jpg;1.0;Signal 4;td503_e.jpg;1.0
TD504;Am ZF-Eingang der folgenden Schaltung liegt ein sinusförmig moduliertes AM-Signal. Welches der folgenden Signale zeigt sich dabei an dem mit X bezeichneten Punkt der Schaltung?;td504_a.jpg;1.0;;;Signal 3;td504_b.jpg;1.0;Signal 2;td504_c.jpg;1.0;Signal 1;td504_d.jpg;1.0;Signal 4;td504_e.jpg;1.0
TD505;Bei dieser Schaltung handelt es sich um einen;td505_a.jpg;1.0;;;Flanken-Diskriminator zur Demodulation von FM-Signalen.;;;Produktdetektor zur Demodulation von SSB-Signalen.;;;Ratiodetektor zur Demodulation von FM-Signalen.;;;Synchrondemodulator zur Demodulation von AM-Signalen.;;
TD506;Bei dieser Schaltung handelt es sich um einen;td506_a.jpg;1.0;;;Gegentakt-Flanken-Diskriminator zur Demodulation von FM-Signalen.;;;Ratiodetektor zur Demodulation von FMSignalen.;;;Hüllkurvendemodulator zur Demodulation von AM-Signalen.;;;Produktdetektor zu Demodulation von SSBSignalen.;;
TD507;Bei dieser Schaltung handelt es sich um einen;td507_a.jpg;1.0;;;Phasendiskriminator zur Demodulation von FM-Signalen.;;;Flanken-Diskriminator zur Demodulation von FM-Signalen.;;;Hüllkurvendemodulator zur Demodulation von AM-Signalen.;;;Produktdetektor zu Demodulation von SSB-Signalen.;;
TD508;Bei dieser Schaltung handelt es sich um einen;td508_a.jpg;1.0;;;Ratiodetektor zur Demodulation von FMSignalen.;;;Hüllkurvendemodulator zur Demodulation von AM-Signalen.;;;Produktdetektor zur Demodulation von SSB-Signalen.;;;Flanken-Diskriminator zur Demodulation von FM-Signalen.;;
TD509;Bei dieser Schaltung handelt es sich um einen;td509_a.jpg;1.0;;;PLL-FM-Demodulator.;;;SSB-Demodulator mit PLL-gesteuertem BFO.;;;ZF-Verstärker.;;;AM-Modulator.;;
TD510;Bei dieser Schaltung handelt es sich um einen;td510_a.jpg;1.0;;;Begrenzerverstärker mit FM-Diskriminator.;;;Produktdetektor zu Demodulation von SSBSignalen.;;;Modulator zur Erzeugung von SSB-Signalen.;;;Modulator zur Erzeugung von FM-Signalen.;;
TD511;Bei dieser Schaltung handelt es sich um einen;td511_a.jpg;1.0;;;Produktdetektor zu Demodulation von SSBSignalen.;;;Flankendemodulator zur Demodulation von FMSignalen.;;;Hüllkurvendemodulator zur Demodulation von AM-Signalen.;;;Diskriminator zur Demodulation von FMSignalen.;;
TD512;Durch Addition eines Nutz- oder Störsignals zur Versorgungsspannung der Senderendstufe wird;;;;;AM erzeugt.;;;FM erzeugt.;;;NBFM erzeugt.;;;PM erzeugt.;;
TD513;Bei dieser Schaltung handelt es sich um einen Modulator zur Erzeugung von;td513_a.jpg;1.0;;;AM-Signalen mit unterdrücktem Träger.;;;phasenmodulierten Signalen.;;;frequenzmodulierten Signalen.;;;AM-Signalen.;;
TD514;Bei dieser Schaltung handelt es sich um einen Modulator zur Erzeugung von;td514_a.jpg;1.0;;;frequenzmodulierten Signalen.;;;phasenmodulierten Signalen.;;;AM-Signalen mit unterdrücktem Träger.;;;AM-Signalen.;;
TD515;Bei dieser Schaltung handelt es sich um einen Modulator zur Erzeugung von;td515_a.jpg;1.0;;;phasenmodulierten Signalen.;;;AM-Signalen mit unterdrücktem Träger.;;;frequenzmodulierten Signalen.;;;AM-Signalen.;;
TD601;Bei dieser Schaltung handelt es sich um;td601_a.jpg;1.0;;;einen kapazitiv rückgekoppelten Dreipunkt-Oszillator.;;;einen Hochfrequenzverstärker in Basisschaltung.;;;einen Hochfrequenzverstärker in Emitterschaltung.;;;einen Oberton-Oszillator in Kollektorschaltung.;;
TD602;Bei dieser Schaltung handelt es sich um;td602_a.jpg;1.0;;;einen induktiv rückgekoppelten LC-Oszillator in Emitterschaltung.;;;einen induktiv rückgekoppelten LC-Oszillator in Basisschaltung.;;;einen Oberton-Oszillator in Basisschaltung.;;;einen Oberton-Oszillator in Emitterschaltung.;;
TD603;Bei dieser Schaltung handelt es sich um;td603_a.jpg;1.0;;;einen LC-Oszillator in induktiver Dreipunktschaltung.;;;einen LC-Oszillator in kapazitiver Dreipunktschaltung.;;;einen Oberton-Oszillator in Kollektorschaltung.;;;einen Oberton-Oszillator in Emitterschaltung.;;
TD604;Bei dieser Oszillatorschaltung handelt es sich um einen kapazitiv rückgekoppelten Quarz-Oszillator in;td604_a.jpg;1.0;;;Kollektorschaltung, in der der Quarz in seiner Grundschwingung betrieben wird.;;;Kollektorschaltung, in der der Quarz in der 3. Oberschwingung betrieben wird.;;;Basisschaltung, in der der Quarz in Parallelresonanz betrieben wird.;;;Basisschaltung, in der der Quarz in Serienresonanz betrieben wird.;;
TD605;Bei dieser Oszillatorschaltung handelt es sich um einen kapazitiv rückgekoppelten Quarz-Oszillator in;td605_a.jpg;1.0;;;Basisschaltung, in der der Quarz in Serienresonanz betrieben wird.;;;Basisschaltung, in der der Quarz in Parallelresonanz betrieben wird.;;;Emitterschaltung, in der der Quarz in Parallelresonanz betrieben wird.;;;Emitterschaltung, in der der Quarz in Serienresonanz betrieben wird.;;
TD606;Ist die folgende Schaltung als Oberton-Oszillator geeignet?;td606_a.jpg;1.0;;;Ja, wenn der Schwingkreis für eine der Obertonfrequenzen des Quarzes ausgelegt wird.;;;Nein, weil die Schaltung keinen Frequenzvervielfacher besitzt.;;;Nein, weil der Quarz in Oberton-Oszillatoren immer in Parallelresonanz betrieben werden muss.;;;Nein, Oszillatorschaltungen, die neben dem Quarz noch einen LC-Schwingkreis besitzen, sind als Oberton-Oszillatoren ungeeignet.;;
TD607;Was ist ein VCO und wie funktioniert er?;;;;;Ein VCO ist ein spannungsgesteuerter Oszillator [voltage controlled oscillator]. Die Frequenzvariation erfolgt mittels einer spannungsgesteuerten Kapazitätsvariationsdiode.;;;Ein VCO ist ein variabler Steueroszillator [variable control oscillator]. Die Frequenzvariation erfolgt mittels eines Drehkondensators.;;;Ein VCO ist ein von einem Referenzoszillator mitgezogener Oszillator [variable controlled oscillator]. Die Frequenzvariation erfolgt durch Umschaltung der Frequenz des Referenzoszillators.;;;Ein VCO ist ein variabler Quarzoszillator [variable controlled oscillator]. Die Frequenzvariation erfolgt durch Veränderung (ziehen) der Quarzfrequenz mit Abstimmitteln.;;
TD608;Für die Messung der Oszillatorfrequenz sollte der Tastkopf hier vorzugsweise am Punkt;td608_a.jpg;1.0;;;D angelegt werden.;;;A angelegt werden.;;;C angelegt werden.;;;B angelegt werden.;;
TD609;Welche Bedingungen müssen zur Erzeugung ungedämpfter Schwingungen in Oszillatoren erfüllt sein?;;;;;Das an einem Schaltungspunkt betrachtete Oszillatorsignal muss auf dem Signalweg im Oszillator so verstärkt und phasengedreht werden, dass es wieder gleichphasig und mit mindestens der gleichen Amplitude zum selben Punkt zurückgekoppelt wird.;;;Die Grenzfrequenz des verwendeten Verstärkerelements muss mindestens der Schwingfrequenz des Oszillators entsprechen, und das entstehende Eingangssignal muss über den Rückkopplungsweg wieder gegenphasig zum Eingang zurückgeführt werden.;;;Die Schleifenverstärkung des Signalwegs im Oszillator muss kleiner als 1 sein, und das entstehende Oszillatorsignal darf auf dem Rückkopplungsweg nicht in der Phase gedreht werden.;;;Die Schleifenverstärkung des Signalwegs im Oszillator muss größer als 1 sein, und das Ausgangssignal muss über den Rückkopplungsweg in der Phase so gedreht werden, dass es gegenphasig zum Ausgangspunkt zurückgeführt wird.;;
TD610;Die Bezeichnungen 'Colpitts' und 'Hartley' stehen für;;;;;Oszillatoren.;;;Verstärker.;;;FM-Demodulatoren.;;;Modulatoren.;;
TD611;'Chirp' ist eine Form der Frequenzinstabilität. Es wird hervorgerufen durch;;;;;Frequenzänderungen des Oszillators z.B. durch zu schwach ausgelegte Stromversorgung.;;;Frequenzänderungen des Oszillators, weil die Tastung auf der falschen Stufe erfolgt.;;;Phasensprung der Oszillatorfrequenz durch zu steile Flanken des Tastsignals.;;;Kontaktprellungen am Tastrelais.;;
TD612;Wie verhält sich die Frequenz eines Oszillators bei Temperaturanstieg, wenn die Kapazität des Schwingkreiskondensators mit dem Temperaturanstieg ebenfalls ansteigt?;;;;;Die Frequenz verringert sich.;;;Die Schwingungen reißen ab (Aussetzer).;;;Die Frequenz erhöht sich.;;;Die Frequenz bleibt stabil .;;
TD613;Wie verhält sich die Frequenz eines Oszillators bei Temperaturanstieg, wenn die Kapazität des Schwingkreiskondensators mit dem Temperaturanstieg geringer wird?;;;;;Die Frequenz wird erhöht.;;;Die Schwingungen reißen ab (Aussetzer).;;;Die Frequenz wird niedriger.;;;Die Frequenz bleibt stabil.;;
TD614;Im VFO eines Senders steigt die Induktivität der Spule mit der Temperatur. Der Kondensator bleibt sehr stabil. Welche Auswirkungen hat dies bei steigender Temperatur?;;;;;Die VFO-Frequenz wandert nach unten.;;;Die VFO-Frequenz wandert nach oben.;;;Die VFO-Ausgangsspannung nimmt zu.;;;Die VFO-Ausgangsspannung nimmt ab.;;
TD615;Der Vorteil von Quarzoszillatoren gegenüber LC-Oszillatoren liegt darin, dass sie;;;;;eine bessere Frequenzstabilität aufweisen.;;;eine breitere Resonanzkurve haben.;;;einen geringeren Anteil an Oberwellen erzeugen.;;;ein sehr viel geringes Seitenbandrauschen erzeugen.;;
TD701;Welche der nachfolgenden Aussagen ist richtig, wenn die im Bild dargestellte Regelschleife in stabilem Zustand ist?;td701_a.jpg;1.0;;;Die Frequenzen an den Punkten A und B sind gleich.;;;Die Frequenz an Punkt A ist höher als die Frequenz an Punkt B.;;;Die Frequenzen an den Punkten A und C sind gleich.;;;Die Frequenz an Punkt B ist höher als die Frequenz an Punkt C.;;
TD702;Ein Frequenzsynthesizer soll eine einstellbare Frequenz mit hoher Frequenzgenauigkeit erzeugen. Die Genauigkeit und Stabilität der Ausgangsfrequenz eines Frequenzsynthesizers wird hauptsächlich bestimmt von;;;;;den Eigenschaften des eingesetzten Quarzgenerators.;;;der Genauigkeit und Stabilität des verwendeten spannungsgesteuerten Oszillators (VCO).;;;der Genauigkeit der eingesetzten Frequenzteiler.;;;den Eigenschaften des eingesetzten Phasenvergleichers.;;
TD703;Welchen Einfluss kann der Tiefpass in der Phasenregelschleife (PLL) auf das vom spannungsgesteuerten Oszillator (VCO) erzeugte Ausgangssignal haben?;;;;;Bei zu niedriger Grenzfrequenz werden Frequenzabweichungen nicht schnell genug ausgeregelt. Bei zu hoher Grenzfrequenz wird ein Ausgangssignal mit zu vielen Störanteilen erzeugt.;;;Bei zu hoher Grenzfrequenz werden Frequenzabweichungen nicht schnell genug ausgeregelt.;;;Bei zu hoher Grenzfrequenz stellt sich die Ausgangsfrequenz bei einer Frequenzumschaltung zu langsam, bzw. erst nach mehreren Überschwingern richtig ein. Dies tritt z.B. bei unterschiedlicher Sende- und Empfangsfrequenz beim Betrieb über Relais- oder Digipeater auf.;;;Der Tiefpass in einer PLL kann keinen Einfluss auf das Ausgangssignal ausüben, weil er nur gleichspannungsseitig eingesetzt ist und daher nur auf die Regelspannung wirken kann.;;
TD704;Welche Baugruppen muss eine Phasenregelschleife (PLL) mindestens enthalten?;;;;;Einen VCO, einen Tiefpass und einen Phasenvergleicher;;;Einen VCO, einen Hochpass und einen Phasenvergleicher;;;Einen Phasenvergleicher, einen Tiefpass und einen Frequenzteiler;;;Einen Phasenvergleicher, einen Hochpass und einen Frequenzteiler;;
TD705;Die Ausgangsfrequenz eines VCO ändert sich von 16,5 MHz auf 16,75 MHz, wenn sich die Regelspannung von 5,1 V auf 7,6 V ändert. Welche Regelempfindlichkeit hat der VCO?;;;;;100 kHz/V;;;250 kHz/V;;;50 kHz/V;;;1 MHz/V;;
TD706;Die Frequenz an Punkt A beträgt 12,5 KHz. Es sollen Ausgangsfrequenzen im Bereich von 12,000 MHz bis 14,000 MHz erzeugt werden. In welchem Bereich bewegt sich dabei das Teilerverhältnis n?;td706_a.jpg;1.0;;;960 bis 1120;;;300 bis 857;;;960 bis 857;;;300 bis 1120;;
TD707;Wie groß muss bei der folgenden Schaltung die Frequenz an Punkt A sein, wenn bei der versechsfachten Ausgangsfrequenz ein Kanalabstand von 25 KHz benötigt wird?;td707_a.jpg;1.0;;;ca. 4,167 KHz;;;25 KHz;;;300 KHz;;;150 KHz;;
TE101;Wie unterscheidet sich J3E von A3E in Bezug auf die benötigte Bandbreite?;;;;;Die Sendeart J3E beansprucht weniger als die halbe Bandbreite der Sendeart A3E.;;;Die Sendeart J3E beansprucht etwas mehr als die halbe Bandbreite der Sendeart A3E.;;;Die Sendeart J3E beansprucht etwa 1/4 Bandbreite der Sendeart A3E.;;;Die unterschiedlichen Sendearten lassen keinen Vergleich zu, da sie grundverschieden erzeugt werden.;;
TE102;Wodurch werden Tastklicks bei einem CW-Sender hervorgerufen?;;;;;Durch zu steile Flanken der Tastimpulse;;;Durch prellende Kontakte der verwendeten Taste;;;Durch direkte Tastung der Oszillatorstufe;;;Durch ein unterdimensioniertes Netzteil, dessen Spannung beim Auftasten kurzzeitig zusammenbricht;;
TE103;Auf welcher Frequenz sollte der Schwebungston eines BFO für den Empfang von CW-Signalen ungefähr liegen?;;;;;800 Hz;;;200 Hz;;;2,3 KHz;;;455 KHz;;
TE104;Durch Modulation;;;;;werden Informationen auf einen Träger aufgeprägt.;;;wird einem Träger Informationen entnommen.;;;werden Sprach- und CW-Signale kombiniert.;;;werden dem Signal NF-Komponenten entnommen.;;
TE105;Welches Bild stellt die Übermodulation eines AM-Signals dar?;;;;;;te105_a.jpg;1.0;;te105_b.jpg;1.0;;te105_c.jpg;1.0;;te105_d.jpg;1.0
TE106;Die Übermodulation eines SSB-Signals führt wahrscheinlich zu;;;;;ausgeprägten Splatter-Erscheinungen.;;;Kreuzmodulation.;;;verminderten Seitenbändern.;;;überhöhtem Hub.;;
TE107;Wodurch wird Kreuzmodulation verursacht?;;;;;Durch Vermischung eines starken unerwünschten Signals mit dem Nutzsignal.;;;Wenn eine Harmonische sich selbst vermischt.;;;Durch die Übermodulation eines Verstärkers.;;;Durch Übermodulation oder zu großem Hub.;;
TE108;Um unnötige Seitenband-Splatter zu vermeiden, sollte der Modulationsgrad eines AM-Signals unter;;;;;100 % liegen.;;;50 % liegen.;;;75 % liegen.;;;25 % liegen.;;
TE109;Welche Sendeverfahren weisen das größte Störpotential in Bezug auf NF-Verstärkersysteme auf?;;;;;Einseitenbandmodulation (SSB) und Morsetelegrafie (CW).;;;Frequenzmodulation (FM) und Frequenzumtastung (FSK).;;;Frequenzumtastung (FSK) und Morsetelegrafie (CW).;;;Einseitenbandmodulation (SSB) und Frequenzmodulation (FM).;;
TE110;In welcher Abbildung ist AM mit einem Modulationsgrad von 100 % dargestellt?;;;;;;te110_a.jpg;1.0;;te110_b.jpg;1.0;;te110_c.jpg;1.0;;te110_d.jpg;1.0
